topicID,Topic
344,luminosity
4738,1/N expansion
3380,14C
10903,16S rRNA
9923,16S ribosomal
6892,16s rRNA
3289,17 β-estradiol
79,17-β-estradiol
101,17a-estradiol
6895,18s rRNA
9409,1938 hurricane
149,19th-century opera
5846,2-D electron gas
4335,2-dimensional electron gas
11731,2-epi-5-epi-valiolone synthase
8057,2000 national election campaign
380,20th century opera
4774,2D gravity
3138,2D phases
2986,3D displays
3042,3D photography
11796,3D printing
2649,3D reconstruction
2660,3D reconstructions
10138,3D self-assembly
3873,4 Gyr ago
6701,454 pyrosequencing
5787,47 alternative states
649,4D
8367,5-Fluorouracil
5798,50 time-series analysis
5664,7SK
9063,9/11
5550,A Vision
4265,A-bar movement
4188,A-movement
752,ABC Conjecture
305,ABC model
4409,ACT-R
11058,"AD, atopic dermatitis"
11216,AERONET
821,AFF
5704,AFM
7816,AGAMOUS
8634,AGPs
10949,AIC
3681,AIDS
946,AIMs
8918,AKT signaling cascade
11170,ALCATRAZ
2130,ALD
10759,ALK
7564,ALS
11327,"ALS, amyotrophic lateral sclerosis"
11328,"ALSFRS-R, amyotrophic lateral sclerosis functional rating scale revised"
11768,AMS
10930,AOD
11215,AOT
322,AP3
1771,APC models
3245,APETALA3
7454,AR(1) model
3978,ARMA processes
11059,"ASL, arterial spin labeling"
10641,ATP
9869,ATUM
10751,AVA
11256,AVHRR
10752,AVRP
10844,Aberrant multimerization
8277,Aboriginal
10746,Absorption spectra
11566,Abundance index
10510,Academic Medicine
9295,Accretion
9345,Accuracy
640,Acer
9410,Acer rubrum
11291,Acetone
2844,Acritarch
8776,Actinomycin
10820,Activation energies
3411,Active tectonics
9402,Actuator; Composite; Elastomer; Fiber; Soft
6094,Acute Myeloid Leukemia
11702,Acute myeloid leukemia
1309,AdS-CFT Correspondence
4818,AdS-CFT and dS-CFT Correspondence
4068,AdS-CFT correspondence
9271,AdS/CFT Correlators
4790,AdS/CMT
5468,Adam Smith
6867,Adaptation
10417,Adaptive MCMC
10605,Adaptive radiation
8036,Adaptive variation
4203,Adelges tsugae
6060,Adhesion Molecules
1291,Adineta vaga
8022,Adiposity
10837,Adjoint
8149,Adjustment (Psychology)
8363,Adjuvants pharmaceutic
8527,Admixture
8302,Adolescent Medicine
8010,Adult Stem Cells
8967,Adverse Reactions
4190,Adyghe (Circassian)
4604,Aequorin
11428,Aerodynamics
9806,Aerosol acidity
7787,Afb1
9038,Affect Annotation
8320,Afforestation
96,Africa
7529,AfricaMap
2085,African American
6685,African Americans
2650,African apes
485,Agamidae
11387,Age
9110,Aging
7973,Agreement
8783,Agricultural Biotechnology
8400,Agriculture
3345,Aharonov-Bohm effect
5134,Ajātasattu
10950,Akaike information criterion
11482,Akt/mTOR
11124,Al
4838,Al Fatah
5849,Al\(_2\)O\(_3\)
9921,Alcoholic beverage
9221,Alecander Romance
6713,Alexander Nevskii
9516,Algebra
11542,Alginate
8137,Algorithms
9676,Alien or exotic species
10771,Alk5 inhibitor II
7392,Allais paradox
7162,Allelic Diversity
9386,Allometry
10843,Allosteric inhibitors
11808,Alpine shrubline
1831,Altiplano
6501,Aluminum sandwich panels
11633,Alveolar Macrophage
3689,Alzheimer's disease
3743,Alzheimer’s disease
756,Amazon
11754,Amazon EC2
503,Amazonia
10263,Ambiguity
567,Amborella
11040,American Heart Association
11432,American Southwest
330,American literature
141,Ameriflux
7492,Amidinate Complex
10057,Ammonia
9808,Ammonium
9553,Amniote phylogeny
11733,Amphibian monitoring
8646,Amphipod
8860,Amplification
8989,Amyotrophic Lateral Sclerosis
11321,Amyotrophic lateral sclerosis
11598,Amyotrophic lateral sclerosis (ALS)
10258,Analysis of variance
8148,Analytical Chemistry
8981,Anatomy
5266,Anatomy and Physiology
11434,Ancestral Pueblo
9032,Ancient DNA
7447,Ancillary-Sufficient Interweaving Strategy (ASIS)
5089,Andamanese
1886,Andes
8961,Anemia
7997,Angiotensin II
6457,Angus Ross
8107,Anhedonia
8938,Animal
6085,Animal Behavior
9653,Animal Cells
6868,Animal Evolution
5206,Animal Genetics
10852,Animal Genomics
8120,Animal Management
5212,Animal Models
8932,Animal Models of Disease
9096,Animal Models of Infection
8781,Animal Nutrition
8782,Animal Performance
6729,Animal Phylogenetics
8780,Animal Physiology
6838,Animal Taxonomy
10463,Animal Types
9794,Animal behaviour
9028,Animal genetics
8716,Animal models
9607,Animalia
8923,Animals
8721,Ankyrin-G (AnkG)
10022,Annealing
6889,Annelida
10677,Annuity
422,Anolis
420,Anolis lizard
10589,Anolis lizards
10304,Antarctica
11497,Antenatal
9789,Antenna theory
10047,Anthozoa
11594,Anthracycline
8046,Anthropology
8325,Anthropometry
7277,Anti-cancer
9007,Antibiotic resistance
11758,Antifer-romagnetic exchange
10858,Antigen Processing and Recognition
9634,Antigen presenting cells (APC)
8247,Antigen processing
11183,Antirrhinum
8965,Antivirals
2730,Antoine Busnoys
8635,Apple
8081,Applied Mathematics
8879,Applied physics
10656,Approximate inference
1370,Aquaporin-0
11401,Aquatic mammal
10152,Aqueous two-phase systems
3242,Aquilegia
8348,Arabidopsis
8633,Arabinogalactan proteins
10543,Arabuko Sokoke Forest
6705,Arachnida
4204,Araneae
9610,Archaea
8029,Archaeans
9444,Archaeocyath
10734,Archaeological fibres
9512,Archaeological remote sensing
8341,Archaeology
997,Archean
5892,Archosauria
9805,Arctic
4318,Argentina's bicentennial independence
4317,Argentinian literature
902,Arhtur-Merlin games
1950,Aristotle
5398,Arroyo
8681,Arthropod
6915,Arthropoda
913,Arthur-Merlin games
7983,Article
8565,Articles
10890,Artificial Neural Networks
5657,Artiodactyla
9920,Artisanal starter culture
8151,Ascidians
